Timestamp,Script,CPU Temperature (°C),CPU Clock Speed (MHz),CPU Throttled
2025-05-04 15:08:11,facial_recognition.py,51.0,2400,throttled=0x0
2025-05-04 15:08:13,facial_recognition.py,50.5,2400,throttled=0x0
2025-05-04 15:08:14,facial_recognition.py,51.6,2400,throttled=0x0
2025-05-04 15:08:15,facial_recognition.py,52.1,2400,throttled=0x0
2025-05-04 15:08:16,facial_recognition.py,52.1,2400,throttled=0x0
2025-05-04 15:08:17,facial_recognition.py,51.0,2400,throttled=0x0
2025-05-04 15:08:18,facial_recognition.py,53.8,2400,throttled=0x0
2025-05-04 15:08:19,facial_recognition.py,53.2,2400,throttled=0x0
2025-05-04 15:08:20,facial_recognition.py,53.2,2400,throttled=0x0
2025-05-04 15:08:21,facial_recognition.py,52.7,2400,throttled=0x0
2025-05-04 15:08:22,facial_recognition.py,53.2,2400,throttled=0x0
2025-05-04 15:08:23,facial_recognition.py,52.7,2400,throttled=0x0
2025-05-04 15:08:24,facial_recognition.py,52.7,2400,throttled=0x0
2025-05-04 15:08:25,facial_recognition.py,52.7,2400,throttled=0x0
2025-05-04 15:08:26,facial_recognition.py,52.7,2400,throttled=0x0
2025-05-04 15:08:27,facial_recognition.py,52.7,2400,throttled=0x0
2025-05-04 15:08:28,facial_recognition.py,52.7,2400,throttled=0x0
2025-05-04 15:08:29,facial_recognition.py,51.0,2400,throttled=0x0
2025-05-04 15:08:30,facial_recognition.py,51.6,2400,throttled=0x0
2025-05-04 15:08:31,facial_recognition.py,53.2,2400,throttled=0x0
2025-05-04 15:08:32,facial_recognition.py,53.2,2400,throttled=0x0
2025-05-04 15:08:33,facial_recognition.py,52.1,2400,throttled=0x0
2025-05-04 15:08:34,facial_recognition.py,52.1,2400,throttled=0x0
2025-05-04 15:08:35,facial_recognition.py,51.6,2400,throttled=0x0
2025-05-04 15:08:36,facial_recognition.py,52.7,2400,throttled=0x0
2025-05-04 15:08:37,facial_recognition.py,50.5,2400,throttled=0x0
2025-05-04 15:08:38,facial_recognition.py,48.8,2400,throttled=0x0
2025-05-04 15:08:39,facial_recognition.py,48.8,2400,throttled=0x0
2025-05-04 15:08:40,facial_recognition.py,47.2,2400,throttled=0x0
2025-05-04 15:08:41,facial_recognition.py,48.3,1600,throttled=0x0
2025-05-04 15:08:42,facial_recognition.py,47.7,1500,throttled=0x0
2025-05-04 15:08:43,facial_recognition.py,47.2,1500,throttled=0x0
2025-05-04 15:08:44,facial_recognition.py,47.7,1500,throttled=0x0
2025-05-04 15:08:45,facial_recognition.py,46.6,1500,throttled=0x0
2025-05-04 15:08:46,facial_recognition.py,46.6,1500,throttled=0x0
2025-05-04 15:08:47,facial_recognition.py,46.1,1500,throttled=0x0
2025-05-04 15:08:48,facial_recognition.py,46.6,1500,throttled=0x0
2025-05-04 15:08:49,facial_recognition.py,44.4,1500,throttled=0x0
2025-05-04 15:08:50,facial_recognition.py,45.5,1500,throttled=0x0
2025-05-04 15:08:51,facial_recognition.py,45.5,1500,throttled=0x0
2025-05-04 15:08:52,facial_recognition.py,45.5,1500,throttled=0x0
2025-05-04 15:08:53,facial_recognition.py,45.5,1500,throttled=0x0
2025-05-04 15:08:54,facial_recognition.py,45.5,1500,throttled=0x0
2025-05-04 15:08:55,facial_recognition.py,44.4,1500,throttled=0x0
2025-05-04 15:08:56,facial_recognition.py,44.4,1500,throttled=0x0
2025-05-04 15:08:58,facial_recognition.py,44.4,1500,throttled=0x0
2025-05-04 15:08:59,facial_recognition.py,45.0,1500,throttled=0x0
2025-05-04 15:09:00,facial_recognition.py,45.0,1500,throttled=0x0
2025-05-04 15:09:01,facial_recognition.py,45.0,1500,throttled=0x0
2025-05-04 15:09:02,facial_recognition.py,45.0,1500,throttled=0x0
2025-05-04 15:09:03,facial_recognition.py,45.0,1500,throttled=0x0
2025-05-04 15:09:04,facial_recognition.py,44.4,1500,throttled=0x0
2025-05-04 15:09:05,facial_recognition.py,45.0,1500,throttled=0x0
2025-05-04 15:09:06,facial_recognition.py,44.4,1500,throttled=0x0
2025-05-04 15:09:07,facial_recognition.py,45.0,1500,throttled=0x0
